,,time,Unnamed: 0,time.4,time.3,time.2,time.1,5.03 BN – Nordbrücke (Südseite),5.04 BN – Nordbrücke (Nordseite),5.05 BN - Südbrücke (Südseite),5.06 BN – Südbrücke (Nordseite),5.07 BN - Estermannufer,5.10 BN – Bröhltalweg,5.11 BN - Brühler Straße,5.08 BN - Von-Sandt-Ufer,5.09 BN - Rhenusallee,5.01 BN – Kennedybrücke (Nordseite),5.02 BN - Kennedybrücke (Südseite) Barometer,Kennedybrücke,5.14 BN - Mc Cloy Weg,5.15 BN - Weg auf Damm Neil,5.13 BN - Wilhelm-Spiritus-Ufer,Südbrücke,Nordbrücke
12187,12187,12187,12187,12187,12187,12187,07.05.2019 23:45,1,0,0,2,0,0,5,0,0,3,12,15,0,1,0,2,1
12188,12188,12188,12188,12188,12188,12188,08.05.2019 00:00,2,1,0,0,0,1,0,0,0,2,5,7,0,1,0,0,3
12189,12189,12189,12189,12189,12189,12189,08.05.2019 00:15,0,0,2,0,0,0,3,0,0,9,8,17,0,0,1,2,0
12190,12190,12190,12190,12190,12190,12190,08.05.2019 00:30,0,1,0,1,0,0,1,1,0,0,6,6,0,0,2,1,1
12191,12191,12191,12191,12191,12191,12191,08.05.2019 00:45,0,0,0,1,0,0,2,1,0,1,5,6,0,2,1,1,0
12192,12192,12192,12192,12192,12192,12192,08.05.2019 01:00,0,0,1,0,2,0,1,0,2,1,3,4,0,0,0,1,0
12193,12193,12193,12193,12193,12193,12193,08.05.2019 01:15,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0
12194,12194,12194,12194,12194,12194,12194,08.05.2019 01:30,0,2,0,0,0,1,0,0,0,2,1,3,0,0,0,0,2
12195,12195,12195,12195,12195,12195,12195,08.05.2019 01:45,0,0,0,0,0,0,3,0,0,2,1,3,0,0,0,0,0
12196,12196,12196,12196,12196,12196,12196,08.05.2019 02:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
12197,12197,12197,12197,12197,12197,12197,08.05.2019 02:15,0,0,0,0,0,0,2,2,0,1,1,2,0,0,1,0,0
12198,12198,12198,12198,12198,12198,12198,08.05.2019 02:30,0,0,1,0,0,0,0,0,1,0,4,4,0,0,1,1,0
12199,12199,12199,12199,12199,12199,12199,08.05.2019 02:45,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0
12200,12200,12200,12200,12200,12200,12200,08.05.2019 03:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12201,12201,12201,12201,12201,12201,12201,08.05.2019 03:15,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
12202,12202,12202,12202,12202,12202,12202,08.05.2019 03:30,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
12203,12203,12203,12203,12203,12203,12203,08.05.2019 03:45,0,0,0,0,0,0,2,0,0,2,3,5,0,0,0,0,0
12204,12204,12204,12204,12204,12204,12204,08.05.2019 04:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12205,12205,12205,12205,12205,12205,12205,08.05.2019 04:15,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0
12206,12206,12206,12206,12206,12206,12206,08.05.2019 04:30,0,0,0,0,0,0,1,0,2,0,1,1,0,3,2,0,0
12207,12207,12207,12207,12207,12207,12207,08.05.2019 04:45,1,0,2,0,0,0,0,1,1,2,2,4,0,0,1,2,1
12208,12208,12208,12208,12208,12208,12208,08.05.2019 05:00,2,2,2,0,0,0,2,0,0,1,1,2,1,0,0,2,4
12209,12209,12209,12209,12209,12209,12209,08.05.2019 05:15,3,2,4,0,2,2,3,0,0,6,7,13,0,0,2,4,5
12210,12210,12210,12210,12210,12210,12210,08.05.2019 05:30,5,3,8,0,0,1,3,2,2,7,8,15,4,2,2,8,8
12211,12211,12211,12211,12211,12211,12211,08.05.2019 05:45,2,2,9,4,4,1,6,4,7,11,7,18,2,3,7,13,4
12212,12212,12212,12212,12212,12212,12212,08.05.2019 06:00,3,2,12,4,0,1,2,7,1,15,14,29,1,1,9,16,5
12213,12213,12213,12213,12213,12213,12213,08.05.2019 06:15,5,10,15,5,5,1,8,4,6,27,20,47,5,6,16,20,15
12214,12214,12214,12214,12214,12214,12214,08.05.2019 06:30,11,6,17,10,8,1,10,14,7,38,31,69,6,6,18,27,17
12215,12215,12215,12215,12215,12215,12215,08.05.2019 06:45,12,8,19,16,3,3,18,6,8,43,36,79,7,5,33,35,20
12216,12216,12216,12216,12216,12216,12216,08.05.2019 07:00,5,6,28,28,16,6,12,18,24,49,56,105,13,28,28,56,11
12217,12217,12217,12217,12217,12217,12217,08.05.2019 07:15,16,13,35,37,7,12,22,30,33,81,66,147,21,24,57,72,29
12218,12218,12218,12218,12218,12218,12218,08.05.2019 07:30,9,11,48,51,11,20,23,38,36,88,99,187,21,39,70,99,20
12219,12219,12219,12219,12219,12219,12219,08.05.2019 07:45,13,10,58,40,13,5,29,35,49,122,146,268,15,41,71,98,23
12220,12220,12220,12220,12220,12220,12220,08.05.2019 08:00,14,9,55,62,6,15,21,48,42,89,92,181,12,26,63,117,23
12221,12221,12221,12221,12221,12221,12221,08.05.2019 08:15,11,7,56,51,4,7,38,27,40,90,92,182,12,27,95,107,18
12222,12222,12222,12222,12222,12222,12222,08.05.2019 08:30,5,7,46,48,6,9,27,32,40,74,106,180,10,26,84,94,12
12223,12223,12223,12223,12223,12223,12223,08.05.2019 08:45,3,2,37,34,5,5,23,22,23,68,71,139,7,19,71,71,5
12224,12224,12224,12224,12224,12224,12224,08.05.2019 09:00,5,5,20,33,2,0,22,13,23,33,56,89,7,5,42,53,10
12225,12225,12225,12225,12225,12225,12225,08.05.2019 09:15,7,4,20,28,4,4,10,6,15,25,49,74,10,8,28,48,11
12226,12226,12226,12226,12226,12226,12226,08.05.2019 09:30,1,7,10,16,2,3,8,7,10,42,56,98,12,20,17,26,8
12227,12227,12227,12227,12227,12227,12227,08.05.2019 09:45,3,4,6,9,3,1,8,16,6,41,46,87,1,7,23,15,7
12228,12228,12228,12228,12228,12228,12228,08.05.2019 10:00,1,1,7,2,6,2,14,11,11,24,50,74,2,11,19,9,2
12229,12229,12229,12229,12229,12229,12229,08.05.2019 10:15,3,1,4,3,1,3,10,6,6,19,23,42,0,8,10,7,4
12230,12230,12230,12230,12230,12230,12230,08.05.2019 10:30,0,3,8,2,2,2,5,5,11,20,34,54,1,16,11,10,3
12231,12231,12231,12231,12231,12231,12231,08.05.2019 10:45,3,4,5,5,0,5,6,10,7,18,31,49,13,8,13,10,7
12232,12232,12232,12232,12232,12232,12232,08.05.2019 11:00,4,1,1,5,4,2,5,21,7,21,27,48,2,17,8,6,5
12233,12233,12233,12233,12233,12233,12233,08.05.2019 11:15,4,0,3,2,4,2,9,1,6,19,30,49,8,5,12,5,4
12234,12234,12234,12234,12234,12234,12234,08.05.2019 11:30,5,0,9,5,11,3,7,3,7,12,32,44,4,5,12,14,5
12235,12235,12235,12235,12235,12235,12235,08.05.2019 11:45,2,1,5,3,1,1,4,5,3,15,42,57,2,7,12,8,3
12236,12236,12236,12236,12236,12236,12236,08.05.2019 12:00,3,0,7,5,0,2,3,4,5,19,42,61,2,5,13,12,3
12237,12237,12237,12237,12237,12237,12237,08.05.2019 12:15,3,0,10,5,3,0,7,5,12,20,32,52,3,4,11,15,3
12238,12238,12238,12238,12238,12238,12238,08.05.2019 12:30,6,3,11,8,4,7,13,6,8,18,53,71,5,10,12,19,9
12239,12239,12239,12239,12239,12239,12239,08.05.2019 12:45,2,2,5,2,2,2,7,1,7,18,37,55,3,9,11,7,4
12240,12240,12240,12240,12240,12240,12240,08.05.2019 13:00,2,0,9,3,1,8,5,9,13,23,48,71,1,14,11,12,2
12241,12241,12241,12241,12241,12241,12241,08.05.2019 13:15,5,1,7,10,3,6,7,4,9,18,55,73,6,13,19,17,6
12242,12242,12242,12242,12242,12242,12242,08.05.2019 13:30,8,0,8,7,4,8,16,6,13,20,70,90,5,9,11,15,8
12243,12243,12243,12243,12243,12243,12243,08.05.2019 13:45,5,1,6,7,1,6,8,4,9,28,64,92,4,11,47,13,6
12244,12244,12244,12244,12244,12244,12244,08.05.2019 14:00,2,3,16,13,2,3,11,11,12,24,63,87,2,9,13,29,5
12245,12245,12245,12245,12245,12245,12245,08.05.2019 14:15,3,1,14,9,4,3,16,41,10,32,34,66,9,5,14,23,4
12246,12246,12246,12246,12246,12246,12246,08.05.2019 14:30,5,0,11,5,4,4,11,11,8,27,46,73,42,9,14,16,5
12247,12247,12247,12247,12247,12247,12247,08.05.2019 14:45,6,6,12,17,2,7,11,9,3,17,64,81,5,7,19,29,12
12248,12248,12248,12248,12248,12248,12248,08.05.2019 15:00,6,3,14,10,5,5,4,9,11,22,49,71,8,12,21,24,9
12249,12249,12249,12249,12249,12249,12249,08.05.2019 15:15,2,2,46,7,4,8,11,7,9,18,51,69,4,8,51,53,4
12250,12250,12250,12250,12250,12250,12250,08.05.2019 15:30,3,5,27,18,3,3,15,44,16,19,48,67,5,10,44,45,8
12251,12251,12251,12251,12251,12251,12251,08.05.2019 15:45,9,1,14,22,4,5,13,11,9,23,69,92,34,8,46,36,10
12252,12252,12252,12252,12252,12252,12252,08.05.2019 16:00,8,0,19,17,7,4,16,11,14,34,95,129,2,14,27,36,8
12253,12253,12253,12253,12253,12253,12253,08.05.2019 16:15,6,4,24,22,3,6,26,11,16,32,88,120,6,14,28,46,10
12254,12254,12254,12254,12254,12254,12254,08.05.2019 16:30,13,4,26,24,1,5,15,22,24,26,86,112,7,11,21,50,17
12255,12255,12255,12255,12255,12255,12255,08.05.2019 16:45,9,8,41,23,7,11,10,20,26,43,89,132,9,23,41,64,17
12256,12256,12256,12256,12256,12256,12256,08.05.2019 17:00,8,5,28,20,5,6,18,17,24,35,96,131,13,19,43,48,13
12257,12257,12257,12257,12257,12257,12257,08.05.2019 17:15,22,8,44,40,6,3,21,17,30,53,112,165,9,21,56,84,30
12258,12258,12258,12258,12258,12258,12258,08.05.2019 17:30,10,6,44,31,5,12,26,34,34,35,103,138,12,20,51,75,16
12259,12259,12259,12259,12259,12259,12259,08.05.2019 17:45,10,4,35,27,7,10,19,19,24,41,113,154,13,19,59,62,14
12260,12260,12260,12260,12260,12260,12260,08.05.2019 18:00,5,2,22,33,5,10,15,20,21,34,93,127,10,13,44,55,7
12261,12261,12261,12261,12261,12261,12261,08.05.2019 18:15,9,6,26,18,4,5,6,14,27,41,96,137,14,29,41,44,15
12262,12262,12262,12262,12262,12262,12262,08.05.2019 18:30,7,4,20,17,3,3,5,11,16,21,70,91,6,21,43,37,11
12263,12263,12263,12263,12263,12263,12263,08.05.2019 18:45,1,2,15,14,3,8,11,11,12,24,73,97,6,16,22,29,3
12264,12264,12264,12264,12264,12264,12264,08.05.2019 19:00,2,3,12,10,1,3,7,8,15,27,49,76,6,12,16,22,5
12265,12265,12265,12265,12265,12265,12265,08.05.2019 19:15,6,4,11,6,1,2,21,5,9,23,60,83,5,12,22,17,10
12266,12266,12266,12266,12266,12266,12266,08.05.2019 19:30,4,2,11,12,1,5,11,6,14,21,45,66,3,13,15,23,6
12267,12267,12267,12267,12267,12267,12267,08.05.2019 19:45,3,0,14,11,3,6,10,9,13,35,51,86,4,16,17,25,3
12268,12268,12268,12268,12268,12268,12268,08.05.2019 20:00,6,1,8,7,10,8,7,14,7,28,47,75,4,13,13,15,7
12269,12269,12269,12269,12269,12269,12269,08.05.2019 20:15,7,2,9,6,1,2,8,5,11,12,58,70,4,10,16,15,9
12270,12270,12270,12270,12270,12270,12270,08.05.2019 20:30,2,1,5,5,2,3,4,12,5,17,36,53,2,4,10,10,3
12271,12271,12271,12271,12271,12271,12271,08.05.2019 20:45,2,1,7,7,1,1,5,4,9,27,35,62,13,16,13,14,3
12272,12272,12272,12272,12272,12272,12272,08.05.2019 21:00,1,3,5,6,1,3,5,1,3,24,26,50,3,7,9,11,4
12273,12273,12273,12273,12273,12273,12273,08.05.2019 21:15,1,2,7,3,0,2,5,4,4,11,20,31,0,3,5,10,3
12274,12274,12274,12274,12274,12274,12274,08.05.2019 21:30,3,0,2,6,1,2,3,1,9,15,19,34,7,10,5,8,3
12275,12275,12275,12275,12275,12275,12275,08.05.2019 21:45,2,2,5,0,0,0,3,0,0,18,39,57,2,2,1,5,4
12276,12276,12276,12276,12276,12276,12276,08.05.2019 22:00,1,2,1,1,0,1,6,1,2,12,25,37,4,1,3,2,3
12277,12277,12277,12277,12277,12277,12277,08.05.2019 22:15,0,0,2,0,0,2,3,0,4,10,14,24,0,3,3,2,0
12278,12278,12278,12278,12278,12278,12278,08.05.2019 22:30,0,1,1,3,2,1,4,0,2,4,18,22,0,1,1,4,1
12279,12279,12279,12279,12279,12279,12279,08.05.2019 22:45,0,1,1,1,0,0,0,0,2,11,9,20,0,2,1,2,1
12280,12280,12280,12280,12280,12280,12280,08.05.2019 23:00,0,0,1,0,0,1,0,0,0,11,16,27,2,1,2,1,0
12281,12281,12281,12281,12281,12281,12281,08.05.2019 23:15,0,0,0,1,0,0,4,0,1,9,23,32,0,1,0,1,0
12282,12282,12282,12282,12282,12282,12282,08.05.2019 23:30,0,1,0,1,0,2,10,3,2,0,9,9,1,1,0,1,1
12283,12283,12283,12283,12283,12283,12283,08.05.2019 23:45,0,0,0,1,1,0,2,0,1,7,4,11,0,3,2,1,0
12284,12284,12284,12284,12284,12284,12284,09.05.2019 00:00,0,0,0,0,0,0,0,0,2,4,8,12,0,2,0,0,0
12285,12285,12285,12285,12285,12285,12285,09.05.2019 00:15,0,0,0,1,0,0,1,0,1,0,5,5,0,1,0,1,0
12286,12286,12286,12286,12286,12286,12286,09.05.2019 00:30,0,0,1,1,0,1,0,0,0,3,3,6,0,0,0,2,0
12287,12287,12287,12287,12287,12287,12287,09.05.2019 00:45,0,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0
12288,12288,12288,12288,12288,12288,12288,09.05.2019 01:00,0,0,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0
12289,12289,12289,12289,12289,12289,12289,09.05.2019 01:15,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
12290,12290,12290,12290,12290,12290,12290,09.05.2019 01:30,0,0,0,0,0,0,1,0,0,1,1,2,0,0,1,0,0
12291,12291,12291,12291,12291,12291,12291,09.05.2019 01:45,0,0,0,0,0,1,1,0,0,0,4,4,0,0,0,0,0
12292,12292,12292,12292,12292,12292,12292,09.05.2019 02:00,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
12293,12293,12293,12293,12293,12293,12293,09.05.2019 02:15,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2
12294,12294,12294,12294,12294,12294,12294,09.05.2019 02:30,0,0,1,0,0,0,0,0,0,1,2,3,0,0,0,1,0
12295,12295,12295,12295,12295,12295,12295,09.05.2019 02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12296,12296,12296,12296,12296,12296,12296,09.05.2019 03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12297,12297,12297,12297,12297,12297,12297,09.05.2019 03:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12298,12298,12298,12298,12298,12298,12298,09.05.2019 03:30,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0
12299,12299,12299,12299,12299,12299,12299,09.05.2019 03:45,0,0,0,0,0,0,1,0,0,1,1,2,0,0,2,0,0
12300,12300,12300,12300,12300,12300,12300,09.05.2019 04:00,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
12301,12301,12301,12301,12301,12301,12301,09.05.2019 04:15,0,0,0,0,0,0,0,0,0,3,2,5,0,0,0,0,0
12302,12302,12302,12302,12302,12302,12302,09.05.2019 04:30,0,0,0,0,0,1,1,0,1,1,3,4,0,1,0,0,0
12303,12303,12303,12303,12303,12303,12303,09.05.2019 04:45,0,0,2,0,0,0,0,0,1,3,2,5,0,0,0,2,0
12304,12304,12304,12304,12304,12304,12304,09.05.2019 05:00,1,3,0,2,0,0,1,0,1,1,0,1,1,0,1,2,4
12305,12305,12305,12305,12305,12305,12305,09.05.2019 05:15,3,3,4,2,3,3,2,0,1,3,4,7,1,1,1,6,6
12306,12306,12306,12306,12306,12306,12306,09.05.2019 05:30,1,5,4,1,0,0,2,1,0,9,14,23,1,1,5,5,6
12307,12307,12307,12307,12307,12307,12307,09.05.2019 05:45,4,3,9,5,3,2,1,4,6,13,11,24,1,4,5,14,7
12308,12308,12308,12308,12308,12308,12308,09.05.2019 06:00,5,3,12,6,0,2,4,6,4,16,18,34,2,3,10,18,8
12309,12309,12309,12309,12309,12309,12309,09.05.2019 06:15,7,5,16,6,8,1,11,5,10,16,14,30,7,10,16,22,12
12310,12310,12310,12310,12310,12310,12310,09.05.2019 06:30,12,4,12,18,4,0,12,12,9,35,37,72,6,8,16,30,16
12311,12311,12311,12311,12311,12311,12311,09.05.2019 06:45,14,7,16,7,7,1,13,9,9,38,33,71,12,10,25,23,21
12312,12312,12312,12312,12312,12312,12312,09.05.2019 07:00,11,13,24,28,13,6,11,14,24,69,50,119,10,14,40,52,24
12313,12313,12313,12313,12313,12313,12313,09.05.2019 07:15,12,11,45,44,12,12,19,32,26,74,77,151,21,34,52,89,23
12314,12314,12314,12314,12314,12314,12314,09.05.2019 07:30,23,21,67,41,15,27,36,41,55,114,112,226,21,63,66,108,44
12315,12315,12315,12315,12315,12315,12315,09.05.2019 07:45,18,16,62,67,16,10,32,50,52,111,138,249,18,61,77,129,34
12316,12316,12316,12316,12316,12316,12316,09.05.2019 08:00,20,15,67,66,7,8,18,44,61,110,97,207,17,47,86,133,35
12317,12317,12317,12317,12317,12317,12317,09.05.2019 08:15,16,13,75,65,12,19,27,68,56,121,116,237,17,49,116,140,29
12318,12318,12318,12318,12318,12318,12318,09.05.2019 08:30,11,13,90,49,5,18,31,36,64,99,87,186,14,49,109,139,24
12319,12319,12319,12319,12319,12319,12319,09.05.2019 08:45,14,10,54,54,5,10,13,31,48,80,116,196,15,28,94,108,24
12320,12320,12320,12320,12320,12320,12320,09.05.2019 09:00,12,6,32,37,6,7,13,30,30,65,70,135,10,19,60,69,18
12321,12321,12321,12321,12321,12321,12321,09.05.2019 09:15,4,7,28,27,3,8,21,8,23,35,58,93,5,18,66,55,11
12322,12322,12322,12322,12322,12322,12322,09.05.2019 09:30,7,6,12,12,6,6,20,17,29,51,88,139,9,22,37,24,13
12323,12323,12323,12323,12323,12323,12323,09.05.2019 09:45,7,5,10,18,2,11,19,11,13,53,60,113,7,33,42,28,12
12324,12324,12324,12324,12324,12324,12324,09.05.2019 10:00,5,4,3,18,3,5,11,14,19,30,66,96,4,8,28,21,9
12325,12325,12325,12325,12325,12325,12325,09.05.2019 10:15,4,2,11,8,2,3,9,8,9,34,34,68,9,12,20,19,6
12326,12326,12326,12326,12326,12326,12326,09.05.2019 10:30,3,6,10,13,4,11,6,14,17,23,39,62,12,30,18,23,9
12327,12327,12327,12327,12327,12327,12327,09.05.2019 10:45,1,3,6,10,3,10,4,12,12,33,37,70,17,15,19,16,4
12328,12328,12328,12328,12328,12328,12328,09.05.2019 11:00,14,1,3,7,3,4,18,17,15,23,33,56,8,22,19,10,15
12329,12329,12329,12329,12329,12329,12329,09.05.2019 11:15,4,2,2,11,6,4,12,8,18,27,47,74,9,14,16,13,6
12330,12330,12330,12330,12330,12330,12330,09.05.2019 11:30,3,4,7,10,5,1,9,20,17,21,45,66,8,23,18,17,7
12331,12331,12331,12331,12331,12331,12331,09.05.2019 11:45,6,2,9,6,2,4,11,13,11,31,49,80,13,9,24,15,8
12332,12332,12332,12332,12332,12332,12332,09.05.2019 12:00,2,0,6,9,4,2,10,9,11,22,69,91,4,9,22,15,2
12333,12333,12333,12333,12333,12333,12333,09.05.2019 12:15,4,3,12,3,4,8,16,9,15,22,57,79,5,11,24,15,7
12334,12334,12334,12334,12334,12334,12334,09.05.2019 12:30,5,3,14,5,6,3,14,16,10,21,46,67,5,8,15,19,8
12335,12335,12335,12335,12335,12335,12335,09.05.2019 12:45,7,1,17,8,7,4,15,13,7,29,64,93,11,10,30,25,8
12336,12336,12336,12336,12336,12336,12336,09.05.2019 13:00,5,2,16,13,4,9,11,12,20,34,66,100,2,30,30,29,7
12337,12337,12337,12337,12337,12337,12337,09.05.2019 13:15,7,6,11,22,7,9,14,19,20,43,76,119,7,36,27,33,13
12338,12338,12338,12338,12338,12338,12338,09.05.2019 13:30,11,2,15,8,7,8,14,20,25,24,75,99,14,20,30,23,13
12339,12339,12339,12339,12339,12339,12339,09.05.2019 13:45,7,4,13,9,23,6,12,13,20,32,74,106,17,19,31,22,11
12340,12340,12340,12340,12340,12340,12340,09.05.2019 14:00,14,4,22,12,6,7,16,20,22,37,88,125,16,20,23,34,18
12341,12341,12341,12341,12341,12341,12341,09.05.2019 14:15,9,5,16,19,9,10,14,16,23,29,80,109,9,22,27,35,14
12342,12342,12342,12342,12342,12342,12342,09.05.2019 14:30,13,2,15,9,1,11,14,15,17,43,90,133,12,24,42,24,15
12343,12343,12343,12343,12343,12343,12343,09.05.2019 14:45,6,4,10,12,7,5,9,13,17,32,75,107,12,20,32,22,10
12344,12344,12344,12344,12344,12344,12344,09.05.2019 15:00,15,3,19,18,8,5,10,17,27,56,89,145,18,32,28,37,18
12345,12345,12345,12345,12345,12345,12345,09.05.2019 15:15,13,11,26,19,7,11,11,21,31,31,84,115,9,29,41,45,24
12346,12346,12346,12346,12346,12346,12346,09.05.2019 15:30,16,6,24,29,10,14,16,17,28,49,92,141,13,29,44,53,22
12347,12347,12347,12347,12347,12347,12347,09.05.2019 15:45,15,6,24,23,13,13,20,30,33,46,118,164,36,29,40,47,21
12348,12348,12348,12348,12348,12348,12348,09.05.2019 16:00,15,3,41,31,5,16,21,23,32,56,113,169,17,44,61,72,18
12349,12349,12349,12349,12349,12349,12349,09.05.2019 16:15,17,7,46,32,10,22,20,29,47,62,153,215,8,47,51,78,24
12350,12350,12350,12350,12350,12350,12350,09.05.2019 16:30,13,11,45,31,8,11,16,57,38,47,89,136,24,22,47,76,24
12351,12351,12351,12351,12351,12351,12351,09.05.2019 16:45,22,6,40,18,9,12,26,32,34,41,120,161,18,28,48,58,28
12352,12352,12352,12352,12352,12352,12352,09.05.2019 17:00,13,3,43,24,12,11,24,51,32,53,115,168,28,32,63,67,16
12353,12353,12353,12353,12353,12353,12353,09.05.2019 17:15,14,11,69,43,9,10,32,38,60,52,137,189,16,50,102,112,25
12354,12354,12354,12354,12354,12354,12354,09.05.2019 17:30,23,7,59,48,5,14,26,35,39,48,129,177,22,48,71,107,30
12355,12355,12355,12355,12355,12355,12355,09.05.2019 17:45,29,10,48,31,15,14,24,38,42,69,159,228,21,54,96,79,39
12356,12356,12356,12356,12356,12356,12356,09.05.2019 18:00,20,18,46,33,14,10,24,44,45,58,142,200,20,60,84,79,38
12357,12357,12357,12357,12357,12357,12357,09.05.2019 18:15,24,11,36,31,13,16,21,38,31,49,118,167,15,42,75,67,35
12358,12358,12358,12358,12358,12358,12358,09.05.2019 18:30,21,4,25,33,6,9,14,32,60,53,119,172,16,56,60,58,25
12359,12359,12359,12359,12359,12359,12359,09.05.2019 18:45,12,4,41,31,5,12,18,24,36,40,124,164,15,49,51,72,16
12360,12360,12360,12360,12360,12360,12360,09.05.2019 19:00,11,3,26,25,7,13,17,19,32,56,115,171,17,35,42,51,14
12361,12361,12361,12361,12361,12361,12361,09.05.2019 19:15,17,21,17,20,11,7,20,23,33,38,87,125,9,30,56,37,38
12362,12362,12362,12362,12362,12362,12362,09.05.2019 19:30,11,4,16,14,9,9,7,7,28,50,75,125,10,41,39,30,15
12363,12363,12363,12363,12363,12363,12363,09.05.2019 19:45,5,2,14,18,8,9,16,24,23,42,75,117,8,24,20,32,7
12364,12364,12364,12364,12364,12364,12364,09.05.2019 20:00,11,2,24,13,4,11,11,18,26,36,73,109,4,18,31,37,13
12365,12365,12365,12365,12365,12365,12365,09.05.2019 20:15,7,5,10,12,3,2,10,10,22,21,72,93,10,25,16,22,12
12366,12366,12366,12366,12366,12366,12366,09.05.2019 20:30,8,4,9,5,2,9,10,20,15,31,59,90,13,21,18,14,12
12367,12367,12367,12367,12367,12367,12367,09.05.2019 20:45,3,3,6,5,1,7,10,11,11,23,43,66,10,10,11,11,6
12368,12368,12368,12368,12368,12368,12368,09.05.2019 21:00,0,0,5,7,3,4,6,5,6,34,31,65,4,9,13,12,0
12369,12369,12369,12369,12369,12369,12369,09.05.2019 21:15,2,2,4,3,0,2,8,3,2,18,35,53,2,20,10,7,4
12370,12370,12370,12370,12370,12370,12370,09.05.2019 21:30,4,1,9,6,1,2,7,1,7,14,36,50,2,9,10,15,5
12371,12371,12371,12371,12371,12371,12371,09.05.2019 21:45,4,2,3,5,0,4,4,1,7,18,34,52,2,8,8,8,6
12372,12372,12372,12372,12372,12372,12372,09.05.2019 22:00,0,1,5,3,0,2,5,4,4,15,27,42,2,3,3,8,1
12373,12373,12373,12373,12373,12373,12373,09.05.2019 22:15,1,0,5,7,0,2,4,5,3,23,27,50,0,3,11,12,1
12374,12374,12374,12374,12374,12374,12374,09.05.2019 22:30,2,0,5,1,0,4,10,3,1,18,26,44,1,2,5,6,2
12375,12375,12375,12375,12375,12375,12375,09.05.2019 22:45,1,0,5,2,0,0,10,1,2,12,16,28,0,2,6,7,1
12376,12376,12376,12376,12376,12376,12376,09.05.2019 23:00,0,0,3,0,0,0,6,0,2,6,15,21,0,2,4,3,0
12377,12377,12377,12377,12377,12377,12377,09.05.2019 23:15,0,0,1,2,0,0,5,0,2,12,14,26,1,0,1,3,0
12378,12378,12378,12378,12378,12378,12378,09.05.2019 23:30,0,0,3,0,0,1,4,0,3,9,12,21,0,1,3,3,0
12379,12379,12379,12379,12379,12379,12379,09.05.2019 23:45,1,2,0,0,0,1,0,0,0,13,17,30,0,6,1,0,3
12380,12380,12380,12380,12380,12380,12380,10.05.2019 00:00,0,0,0,3,0,0,3,0,0,9,8,17,0,3,1,3,0
12381,12381,12381,12381,12381,12381,12381,10.05.2019 00:15,2,2,0,0,0,0,0,0,0,5,12,17,0,1,1,0,4
12382,12382,12382,12382,12382,12382,12382,10.05.2019 00:30,0,0,0,0,0,0,3,1,0,1,1,2,1,0,0,0,0
12383,12383,12383,12383,12383,12383,12383,10.05.2019 00:45,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0
12384,12384,12384,12384,12384,12384,12384,10.05.2019 01:00,0,0,0,0,0,0,0,0,1,2,5,7,0,1,0,0,0
12385,12385,12385,12385,12385,12385,12385,10.05.2019 01:15,0,1,0,1,0,2,0,0,0,3,2,5,0,0,0,1,1
12386,12386,12386,12386,12386,12386,12386,10.05.2019 01:30,0,0,0,0,0,0,0,0,2,2,5,7,0,0,0,0,0
12387,12387,12387,12387,12387,12387,12387,10.05.2019 01:45,0,0,0,0,0,1,1,0,0,2,4,6,0,0,0,0,0
12388,12388,12388,12388,12388,12388,12388,10.05.2019 02:00,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0
12389,12389,12389,12389,12389,12389,12389,10.05.2019 02:15,0,0,0,0,0,0,2,0,0,1,6,7,0,0,1,0,0
12390,12390,12390,12390,12390,12390,12390,10.05.2019 02:30,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0
12391,12391,12391,12391,12391,12391,12391,10.05.2019 02:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12392,12392,12392,12392,12392,12392,12392,10.05.2019 03:00,0,0,1,0,0,0,0,0,0,2,4,6,0,0,0,1,0
12393,12393,12393,12393,12393,12393,12393,10.05.2019 03:15,0,0,0,0,0,0,0,0,0,1,4,5,1,0,0,0,0
